95677,5.3057,2.986e+05,69583,206
95688,5.7238,3.578e+05,81860,231
95694,6.8325,2.893e+05,58517,63
95776,4.3727,2.574e+05,63750,71
95926,5.4482,2.671e+05,37296,142
95927,4.1075,0,0,2
95928,6.9579,3.023e+05,45906,195
95945,5.4128,3.111e+05,42778,139
95951,5.1063,1.683e+05,37500,23
95959,6.1565,3.858e+05,58913,138
95961,4.8162,1.634e+05,46441,53
95963,6.1698,2.241e+05,39485,74
95965,8.4635,1.513e+05,35220,83
95966,6.4886,1.591e+05,40775,89
95973,6.682,2.677e+05,56541,293
95988,7.711,2.099e+05,48443,49
95991,6.1427,1.616e+05,43165,78
95993,7.956,2.269e+05,64034,163
96003,5.5967,2.242e+05,46497,101
96007,5.8772,1.757e+05,38907,55
96021,6.092,1.408e+05,39756,40
96080,7.3359,1.704e+05,39288,120
90049,18.33,1e+06,1.1673e+05,1
93110,6.6583,7.071e+05,75915,77
93203,3.5623,1.01e+05,35429,15
93206,7.1475,1.588e+05,41488,2
93210,6.0922,1.558e+05,50290,18
93220,3.5,0,0,1
93241,3.15,83700,31886,1
93242,8.1861,1.735e+05,40109,16
93249,7.12,1.075e+05,33011,2
93250,4.9875,1.198e+05,34961,8
93252,5.76,64000,31771,1
93254,8.4,1.039e+05,32750,1
93266,9.4017,1.038e+05,24122,3
93268,6.1702,1.248e+05,46615,31
93304,4.6655,98700,35150,45
93305,4.8769,1.063e+05,29812,33
93306,6.5769,1.498e+05,52203,230
93308,6.7685,1.678e+05,41737,203
93309,6.6413,1.581e+05,47369,182
93311,6.7845,2.423e+05,87720,321
93312,6.5912,2.406e+05,93588,554
93313,6.2922,1.737e+05,64803,161
93314,7.5198,2.94e+05,96446,421
93401,7.1929,5.559e+05,52906,199
93402,4.0423,3.76e+05,57241,78
93422,5.5998,3.874e+05,66014,139
93423,4.5,0,0,1
93424,4.1475,5.782e+05,77679,2
93426,9.4954,3.686e+05,57014,13
93427,9.91,4.361e+05,62969,4
93430,5.2421,6.434e+05,52329,19
